Fila,ID,Tipo,Fuente,CU,Clase UML,Proceso,Estado,Criterio BDD (extracto),CP,HU (Trello),Trazas base,Estado de traza
1,RF-01,RF,Propietaria EV-01,CU-01,Proveedor,P-Prov,--,Dado RUC invalido / Cuando guarda / Entonces rechaza,CP-01,HU-01,,Completa
2,RF-02,RF,Propietaria EV-02,CU-02,GuiaOrigen,P-Guia,--,Dado sin guia / Cuando ingresa lote / Entonces rechaza,CP-02,HU-02,,Completa
3,RF-03,RF,Propietaria EV-03,CU-01,Animal/Lote,P-Ing,--,Dado arete duplicado / Cuando registra / Entonces rechaza,CP-03,HU-03,,Completa
4,RF-04,RF,Propietaria EV-04,CU-03,RegistroPesaje,P-Pes,--,Dado peso+precio / Cuando confirma / Entonces costo < 1s,CP-04,HU-04,,Completa
5,RF-05,RF,Propietaria EV-04,CU-03,RegistroPesaje,P-Pes,--,Dado pesaje confirmado / Cuando emite / Entonces ticket OK,CP-05,HU-05,,Completa
6,RF-06,RF,Carnicero EV-05,CU-04,Corte,P-Des,--,Dado suma cortes > peso+merma / Cuando confirma / Entonces aviso,CP-06,HU-06,,Completa
7,RF-07,RF,Propietaria EV-06,CU-06,ProdAlmacenado,P-Inv,Disponible,Dado sin seccion / Cuando ingresa / Entonces rechaza,CP-07,HU-07,,Completa
8,RF-08,RF,Propietaria EV-06,CU-07,ProdAlmacenado,P-Vida,Prox.vencer,Dado <= 1 dia / Cuando calcula / Entonces alerta,CP-08,HU-08,,Completa
9,RF-09,RF,Propietaria EV-07,CU-10,BajaProducto,P-Baja,B.pendiente,Dado sin aprobacion / Cuando registra / Entonces inv. no cambia,CP-09,HU-09,,Completa
10,RF-10,RF,Bodega EV-08,CU-09,Venta,P-Vent,Vendido,Dado venta confirmada / Cuando registra / Entonces descuenta,CP-10,HU-10,,Completa
11,RF-11,RF,Propietaria EV-03,CU-08,Lote/Animal,P-Traz,--,Dado arete valido / Cuando consulta / Entonces cadena < 3s,CP-11,HU-11,,Completa
12,RF-12,RF,Admin. EV-09,CU-11,ProdAlmacenado,P-Cont,--,Dado conteo fisico / Cuando compara / Entonces diferencia OK,CP-12,HU-12,,Completa
13,RF-13,RF,Propietaria EV-08,CU-12,Reporte,P-Rep,--,Dado rango fechas / Cuando genera / Entonces PDF = suma registros,CP-13,HU-13,,Completa
14,RF-14,RF,Propietaria EV-08,CU-12,Reporte,P-Rep,--,Dado nueva venta / Cuando actualiza / Entonces panel sin recarga,CP-14,HU-14,,Completa
15,RF-15,RF,Propietaria EV-01,--,Usuario,P-Usr,--,Dado usuario desactivado / Cuando inicia sesion / Entonces rechaza,CP-15,HU-15,,Completa
16,RF-16,RF,Propietaria EV-09,CU-06,ProdAlmacenado,P-Inv,--,Dado fecha pasada / Cuando consulta / Entonces stock 0% error,CP-16,HU-16,,Completa
17,RF-17,RF,Admin. EV-10,CU-01 alt.,Proveedor,P-Prov,--,Dado coordenadas fuera rango / Cuando guarda / Entonces valida,CP-17,HU-17,,Completa
18,RF-18,RF,Propietaria EV-11,--,ConfigPrecio,P-Prec,--,Could - sin HU en MVP (prioridad baja justificada),--,--,,Justificada
19,RF-19,RF,Propietaria EV-11,CU-03,ConfigPrecio,P-Prec,--,Dado precio futuro / Cuando pesaje anterior / Entonces precio previo,CP-19,HU-19,,Completa
20,RF-20,RF,Propietaria EV-12,CU-10,Incidente,P-Inc,--,Dado incidente registrado / Cuando baja asoc. / Entonces evidencia enlazada,CP-20,HU-20,,Completa
